ind,genPC1_LecPine,genPC2_LecPine,genPC3_LecPine,ID,avg_perc_PP_reads_mapped,MERGED_FINAL_read_count,species,city,state,area,latitude,longitude,host,stage,lcPC1,lcPC2,change_tmax,site_number,grouped_site_number_5km,allele_imbalance,average_depth_coverage,missingness,heterozygosity,pop,admix_prop_k2,lec_blue_k2,pine_orange_k2,lec_blue_k3,pine_orange_k3,lec_purple_k3,lec_blue_k4,pine_orange_k4,lec_purple_k4,lec_green_k4
21074D-06-154,0.0235509,0.070546,-0.00452563,LL128_AG1,0.98,40697172,lecontei,Lexington,KY,Central,38.043602,-84.496549,mugo,larva,-2.307991035,-0.385557331,0.386869693,50,32,11.66127,21.9,0.005984091,0.161182644,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-155,0.0234708,0.0700018,-0.00445297,LL129_AG1,0.9393,38969826,lecontei,Lexington,KY,Central,38.043602,-84.496549,mugo,larva,-2.307991035,-0.385557331,0.386869693,50,32,13.88917,20,0.010615845,0.160677761,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-156,0.0235231,0.0702725,-0.00454528,LL130_AG1,0.905,38036370,lecontei,Lexington,KY,Central,38.043602,-84.496549,mugo,larva,-2.307991035,-0.385557331,0.386869693,50,32,14.27567,19.9,0.010809036,0.167539829,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-157,0.0235104,0.0701181,-0.00457374,LL131_AG1,0.98005,42226062,lecontei,Lexington,KY,Central,38.043602,-84.496549,mugo,larva,-2.307991035,-0.385557331,0.386869693,50,32,11.00368,22.8,0.004085989,0.162834682,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-158,0.0234178,0.0701826,-0.00462654,LL133_AG1,0.9774,46265950,lecontei,Lexington,KY,Central,38.02395556,-84.531925,mugo,larva,-2.265684575,-0.409537823,0.383523919,45,32,9.329136,25,0.002666036,0.160961176,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.996,0.004
21074D-06-159,0.0235092,0.0700938,-0.00449086,LL134_AG1,0.9452,43353990,lecontei,Lexington,KY,Central,38.02395556,-84.531925,mugo,larva,-2.265684575,-0.409537823,0.383523919,45,32,11.53844,22.5,0.00385416,0.157885295,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9984,0.0016
21074D-06-160,0.0234602,0.0703001,-0.00459302,LL135_AG1,0.92435,41166238,lecontei,Lexington,KY,Central,38.02395556,-84.531925,mugo,larva,-2.265684575,-0.409537823,0.383523919,45,32,12.18759,21.6,0.006225579,0.15155521,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-161,0.0234724,0.0714271,-0.00455185,LL136_AG1,0.9397,36226972,lecontei,Lexington,KY,Central,38.014,-84.504,virginia,larva,-2.265811222,-0.288857847,0.378060503,41,32,15.14757,19,0.015836831,0.148530206,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-162,0.0234916,0.0713387,-0.00486807,LL139_AG1,0.9823,41801220,lecontei,Lexington,KY,Central,38.014,-84.504,shortleaf,larva,-2.265811222,-0.288857847,0.378060503,41,32,11.118,22.4,0.004438563,0.153815553,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-163,0.0235363,0.0707264,-0.00470483,LL148_AG1,0.9661,39497774,lecontei,Lexington,KY,Central,38.01478,-84.500971,virginia,larva,-2.27238193,-0.28756105,0.373702669,42,32,13.28775,20.6,0.009954165,0.16035085,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
