ID,centroid_size_right,Comp1,Comp2,Comp3,Comp4,Comp5,Cutwindow_length_right,Sut1_length_right,Sut2_length_right,Sut3_length_right,Sut4_length_right,Sut5_length_right,Sut6_length_right,Arc1_width_right,Arc2_width_right,Arc3_width_right,Arc4_width_right,Arc5_width_right,Arc6_width_right,Rightface_len,cut_edge_length,window_to_edge1,window_to_edge2,Intersect_to_top_dist_right,dist_arc2_arc3_right,dist_arc3_arc4_right,dist_arc4_arc5_right,Rightface_height1,Rightface_height2,Rightface_height3,Rightface_height4,Rightface_height5,Rightface_height6,Rightface_height7,cutting_depth1,cutting_depth2,rail_length,window_to_rail
LBX012V01,2.117902999,-0.019695302,0.005378495,-0.013846822,0.004867664,-0.006009696,0.499801281,0.220677525,0.121762268,0.086153932,0.061263774,0.045079153,0.043214002,0.159615162,0.148389656,0.102469996,0.0755,0.082,0.07053127,1.331363125,0.252571356,0.303174042,0.214997163,0.059037361,0.121342903,0.099743922,0.085502865,0.210423216,0.219120538,0.211662491,0.20755168,0.22807992,0.271544564,0.388961541,0.069779367,0.067625217,0.964788583,0.174239203
LBX013V01,1.989414402,-0.005772264,-0.011012346,0.00576282,0.002477602,-0.010933017,0.497172254,0.187881585,0.118436523,0.08421621,0.062285231,0.044366767,0.074524962,0.128272094,0.129056422,0.09383315,0.090737864,0.0769761,0.066665883,1.252934958,0.230170241,0.277194011,0.197473897,0.061939083,0.099151601,0.095643191,0.068541666,0.193828094,0.197944664,0.201538334,0.20079746,0.218329751,0.248597707,0.393564658,0.058424738,0.064089079,0.927641181,0.15360013
LBX013V03,2.131364788,0.025091585,0.016276064,-0.004105198,0.005682248,-0.009469547,0.521002159,0.226625506,0.159728927,0.12778388,0.087581391,0.048856729,0.091056246,0.134135491,0.116516308,0.1297,0.089902725,0.073193579,0.081338429,1.352155808,0.266412331,0.320672933,0.243578653,0.0532,0.105217869,0.100992772,0.086634,0.216408734,0.218807701,0.225409228,0.243974363,0.2573858,0.280763691,0.425029999,0.057265871,0.077030189,0.993674112,0.169954494
LBX013V04,2.046117829,0.013766186,0.007178667,0.018019559,0.009770224,-0.009821687,0.496428464,0.225298047,0.147890128,0.106032872,0.085451799,0.056189412,0.086542128,0.12663321,0.131028432,0.093894675,0.083510778,0.085498655,0.084819102,1.294371852,0.246188485,0.295700964,0.227017709,0.059156487,0.113887005,0.090820813,0.075081289,0.20963628,0.215224627,0.218587031,0.220532741,0.243471744,0.284764973,0.407180476,0.060024662,0.076302687,0.946691571,0.159373555
LBX013V05,1.977334195,0.023230742,-0.001671913,-0.020684228,0.000351525,-0.001103248,0.478974874,0.206766656,0.128207644,0.096940858,0.070020354,0.06362586,0.060231636,0.1309,0.119409757,0.110142862,0.07983389,0.081324658,0.07294779,1.259517566,0.237886801,0.301766681,0.229979912,0.05230239,0.106472766,0.089812527,0.072621829,0.185651555,0.189657085,0.190766087,0.201456546,0.219742622,0.257783494,0.394881919,0.061987902,0.076834432,0.929972607,0.127322347
LBX013V07,1.97923494,0.00307198,0.003502404,-0.018256835,0.004585223,-0.007129999,0.474828653,0.203331158,0.133343354,0.10344878,0.077271275,0.06654397,0.07625936,0.123998589,0.125575197,0.107046018,0.079216791,0.084911542,0.061471619,1.255909431,0.242370997,0.28441976,0.212141274,0.053902319,0.104737434,0.089707302,0.077681722,0.188904685,0.205347145,0.207475926,0.211754787,0.2292332,0.254028187,0.371867624,0.063804467,0.066631224,0.912745227,0.141024289
LBX013V08,2.078755042,-0.007573777,0.006510478,-0.032419066,0.000600731,0.004890762,0.481200509,0.211023601,0.133322541,0.096020206,0.064929577,0.052537606,0.062619885,0.141251124,0.134913787,0.108852423,0.082449742,0.08873838,0.064701932,1.320523627,0.253231673,0.318681989,0.24213139,0.059004152,0.112910451,0.095100473,0.080968759,0.191903153,0.205700097,0.206078141,0.212068338,0.230229842,0.259976249,0.404130375,0.070632924,0.067172688,0.939636866,0.154240624
LBX013V09,2.099091692,-0.002600984,-0.003805113,0.001016133,0.005419151,-0.000763003,0.494353082,0.201479527,0.129008062,0.100082216,0.072565625,0.045487801,0.077889216,0.132369861,0.116816994,0.107370014,0.085008823,0.079427011,0.080700248,1.355104431,0.251370503,0.306353684,0.235381733,0.06414429,0.106363199,0.093445439,0.083601435,0.208270017,0.211778776,0.212396634,0.211229851,0.224216012,0.256204001,0.394525943,0.057432482,0.067799705,0.973340254,0.166362406
LBX013V10,2.062514662,-0.011554542,-0.023231498,-0.015012442,0.010692507,0.001914482,0.500973582,0.177347484,0.119090596,0.084070744,0.050655799,0.039580424,0.051197754,0.129550955,0.127520743,0.115749773,0.07778766,0.078827977,0.06470935,1.321912361,0.237801283,0.303617473,0.228116571,0.071290953,0.1125092,0.088757197,0.076875289,0.180903344,0.192887221,0.190905736,0.202618459,0.219017008,0.235002574,0.378359842,0.053836883,0.069100651,0.970030438,0.153846839
LBX013V11,2.038777182,0.010329894,0.001218313,0.012240619,0.004049157,-0.006287366,0.483051064,0.208894279,0.147312796,0.112876082,0.063788714,0.051965469,0.085653838,0.125324618,0.122136686,0.102549939,0.088930591,0.074783019,0.068774487,1.309074459,0.259382652,0.299050782,0.219955018,0.05180473,0.110152122,0.096093808,0.073752288,0.209449039,0.21635427,0.214461978,0.223571241,0.241678464,0.268922331,0.382208857,0.062324393,0.075644762,0.942251861,0.164391788
